Commune,Date de fin d'autorisation,Date début validité,Date fin validité,Exploitation en eau,Exploitée par,Identifiant,Latitude,Longitude,Nom,Numéro S3IC,Produits,Site en activité,Substances,Type,Volume total (kt),Volume total (m³)
SAINT-MICHEL-ET-CHANVEAUX,2019,1989-02-27T00:00:00,2019-02-27T00:00:00,Non,HERVE,70144,47.680013,-1.154125,L'Aulnaie,0006300388,Granulat alluvionnaire,Oui,Roches alluvionnaires,AP d'autorisation,,
NEUVY-EN-CHAMPAGNE,2034,2004-06-29T00:00:00,2034-06-29T00:00:00,Oui,CARRIERES DE VOUTRE,70323,48.059876,-0.023245,Les Bourleries,0006303174,Concassé de roche siliceuse,Oui,Grès ss,AP d'autorisation,1500,566000
SAINT-SANTIN,2038,2018-01-15T00:00:00,2038-01-15T00:00:00,Oui,SABLIERES ET CARRIERES DE LA MADELEINE,70336,44.615055,2.228035,Le Grézat,0006800183,"Concassé de roche volcanique, Granulat",Oui,Andésite,AP de d'extension/renouvellement,,
PEYRILLES,2033,2018-08-09T00:00:00,2033-08-09T00:00:00,Oui,IMERYS CERAMICS FRANCE,70205,44.611189,1.349545,"Le Garrisset, Mas Blanc, Le Frau Les Gorzes et Vayrières",0006803108,"Silice pour silicium, Granulat alluvionnaire",Oui,"Quartz (filonien ou galets), Sable, graviers, galet",AP de d'extension/renouvellement,,
ESPARROS,2037,2007-04-20T00:00:00,2037-04-20T00:00:00,Oui,MUR,69958,43.02408,0.357357,La Bouche,0006801155,Concassé de roche calcaire,Oui,Calcaire,AP de d'extension/renouvellement,,
LAVARE,2043,2013-07-25T00:00:00,2043-07-25T00:00:00,Oui,BEZARD TRAVAUX PUBLICS,70245,48.0606,0.631262,"La Palaine, La Grouas",0006300631,Granulat alluvionnaire,Oui,"Sables et graviers alluvionnaires, Sable calcaire",AP de d'extension/renouvellement,750,
STRENQUELS,2040,2010-11-09T00:00:00,2040-11-09T00:00:00,Oui,SOURZAT,70236,44.96495208302025,1.6142965210314781,"Coustals del Pics, A las Garennos",0006802027,Concassé de roche calcaire,Oui,Calcaire,AP de d'extension/renouvellement,,
AURIGNAC,2030,2003-04-22T00:00:00,,Oui,CARRIERES BERNADETS,69954,43.210107,0.907548,"Sauterne 2, Clot de Barbo",0006800226,Concassé de roche calcaire,Oui,Calcaire,AP de changement d'exploitant,,
LES MOULINS,2026,2024-02-20T00:00:00,2026-06-11T00:00:00,Oui,CARRIERES DE SAINT-LUBIN,70375,48.194205,-2.616135,Saint-Lubin,0005500236,Concassé de roche plutonique,Oui,Diorite,AP de renouvellement,,
VILLESEQUE,2027,2015-03-25T00:00:00,2027-03-25T00:00:00,Oui,EURL CARRIERES RUP,70257,44.38911,1.329056,"Pech Fournou, Fournou",0006801107,Concassé de roche calcaire,Oui,Calcaire,AP de d'extension/renouvellement,960,
L'HERM,2029,2015-01-19T00:00:00,2029-01-15T00:00:00,Oui,CALCAIRES DU PLANTAUREL,70318,42.980159,1.67587,"Las Grassouet, Laquière",0006802059,Concassé de roche calcaire,Oui,Calcaire,AP de renouvellement,,
CHEMIRE-LE-GAUDIN,2030,2015-11-12T00:00:00,,Oui,PIGEON GRANULATS CENTRE ILE DE FRANCE,70288,47.936027,-0.002535,Le Belvédère,0006300564,Granulat alluvionnaire,Oui,Sables et graviers alluvionnaires,AP de changement d'exploitant,,
ORNOLAC-USSAT-LES-BAINS,2036,2016-02-08T00:00:00,2036-02-08T00:00:00,Non,M. RAYMOND AZUARA,70365,42.815902,1.62688,"Nalat, Laoutriga",0006804337,Concassé de roche calcaire,Oui,Calcaire,AP de d'extension/renouvellement,,
GRAVES,2035,2005-06-13T00:00:00,2035-06-13T00:00:00,Non,CARRIERES AUDOIN ET FILS,70302,45.647985,-0.114805,"Les Galimens, Petit Gâte Pic",0007202097,Granulat alluvionnaire,Oui,"Sable, graviers, galet",AP de d'extension/renouvellement,,
CINTEGABELLE,2038,2008-08-25T00:00:00,2038-08-25T00:00:00,Oui,CEMEX FRANCE,70181,43.286921,1.551477,Les Parisès,0006802032,Granulat alluvionnaire,Oui,"Sable, graviers, galet",AP de d'extension/renouvellement,,
COMBIERS,2028,2013-05-03T00:00:00,2028-05-03T00:00:00,Non,AUDOIN GARANDEAU (SAG),70367,45.516531,0.379369,Chez Pourrat,0007202145,"Silice pour silicium, Granulat alluvionnaire",Oui,Sables siliceux,AP de d'extension/renouvellement,,
SAINTE-CROIX,2035,2005-11-24T00:00:00,2035-11-24T00:00:00,Non,EURL COUDERC,70319,44.411269496662655,1.936229844436623,La Garenne,0006803043,Concassé de roche calcaire,Oui,Calcaire,AP de d'extension/renouvellement,15,
GOURDAN-POLIGNAN,2033,2021-05-11T00:00:00,2033-05-11T00:00:00,Oui,COINTRE,70009,43.065108,0.578537,"Picon, Garros, Cassagne",0006800357,Concassé de roche calcaire,Oui,Calcaire,AP de d'extension/renouvellement,,
PETIT-CANAL,2025,2010-11-22T00:00:00,2025-11-22T00:00:00,Oui,ENTREPRISE DE TRAVAUX PUBLICS LANCELOT,123689,16.349347,-61.440822,Perrin,0006900408,,Oui,Calcaire,AP d'autorisation,,
,2029,2009-04-23T00:00:00,2029-04-23T00:00:00,Non,BLANCHARD,123717,18.090303,-63.039443,Espérance,0006900406,Concassé de roche volcanique,Oui,Andésite,AP d'autorisation,9000,4075000
GIRONDE-SUR-DROPT,2025,2020-09-04T00:00:00,2025-06-20T00:00:00,Non,BOUYER LEROUX STRUCTURE,127122,44.599315,-0.105441,"Chauvin, Peynet, Bouillerot, Pichoulet",0005203790,"Terre cuite, Tuiles et briques",Oui,Roches argileuses (argiles),AP de renouvellement,,
SAINT-PIERRE,2034,2019-03-09T00:00:00,2034-03-09T00:00:00,Oui,SOCIETE DE CONCASSAGE ET DE PREFABRICATION DE LA REUNION (SCPR),125621,-21.309343337671187,55.411836592539615,Pierrefonds,0007100980,Granulat alluvionnaire,Oui,"Sable, graviers, galet",AP de d'extension/renouvellement,6610,2874000
LORLANGES,2026,2011-12-06T00:00:00,2026-12-06T00:00:00,Oui,PROMEYRAT,125763,45.328785,3.232611,Le Bois - Mont Bresson,0005601804,Concassé de roche métamorphique,Oui,Leptynite,AP d'autorisation,,
ARBOYS EN BUGEY,2026,2011-07-18T00:00:00,2026-07-18T00:00:00,Oui,GRACE ET PICCINO,125762,45.698575,5.674169,Les Grandes Raies,0006100040,Granulat alluvionnaire,Oui,"Sable, graviers, galet",AP de d'extension/renouvellement,2180,
CHAMPDOR-CORCELLES,2040,2017-05-05T00:00:00,,Oui,CARRIERES BLANC,125784,46.008842,5.580671,Les Trablettes,0006108788,"Concassé de roche calcaire, Calcaire (PO)",Oui,Calcaire,AP de changement d'exploitant,,
RAMASSE,2041,2011-07-05T00:00:00,2041-07-05T00:00:00,Oui,FAMY ET CIE,125785,46.176076,5.366382,"Marbre, Chaux Demarchand",0006109666,Concassé de roche calcaire,Oui,Calcaire,AP d'autorisation,1680,
SAINT-BONNET-DE-MURE,2036,2015-10-29T00:00:00,2036-07-18T00:00:00,Oui,SOCIETE D'EXPLOITATION DES ETABLISSEMENTS MARTEL,125861,45.673837,5.014943,La Picardière,0006107947,Granulat alluvionnaire,Oui,Sables et graviers alluvionnaires,AP de d'extension/renouvellement,2640,
VILLEDIEU,2030,2010-03-10T00:00:00,2030-03-10T00:00:00,Non,ARTISANAT DE LA PIERRE,125885,45.016048,3.033433,La Pierre Levée,0005602012,Lave (PO),Oui,Basalte,AP d'autorisation,40,
DOMERAT,2032,2021-12-02T00:00:00,2032-07-11T00:00:00,Non,CARRIERES MOULINAT,125901,46.342988,2.51218,Peuroir Ouest,0016400017,Granit-batiment,Oui,Granites et granitoides,AP de renouvellement,,
GANNAT,2035,2010-03-25T00:00:00,2035-03-25T00:00:00,Oui,SEMONSAT FILS,125921,46.105269,3.169775,"Saint Antoine, Sigillon",0005602032,Concassé de roche volcanique,Oui,Roches volcaniques,AP d'autorisation,,
SAINT-OURS,2030,2010-04-13T00:00:00,2030-04-13T00:00:00,Oui,POUZZOLANES DES DOMES,125941,45.855937,2.963007,Puy de Tenusset,0005602121,Concassé de roche volcanique,Oui,Pouzzolane,AP d'autorisation,,
VIRIAT,2030,2010-04-29T00:00:00,2030-04-29T00:00:00,Oui,FAMY ET CIE,125781,46.269357,5.188517,En Buyat,0006109049,Granulat alluvionnaire,Oui,Sables et graviers alluvionnaires,AP d'autorisation,612,
SAINT-LAURENT-DE-MURE,2038,2013-05-13T00:00:00,2038-05-15T00:00:00,Non,CM MATERIAUX,125865,45.673162,5.018566,La petite Craz 3,0006101465,Granulat alluvionnaire,Oui,"Sable, graviers, galet",AP de d'extension/renouvellement,1168,
COURS-LES-BARRES,2038,2018-10-24T00:00:00,2038-10-24T00:00:00,Non,AGREGATS DU CENTRE,126604,47.016399,3.046331,Les Fromenteries,0010009431,Granulat alluvionnaire,Oui,Sables et graviers alluvionnaires,AP de d'extension/renouvellement,6100,
ARGENVIERES,2024,2009-07-17T00:00:00,2024-07-17T00:00:00,Non,SABLIERE DE L'ILE AU PAGE,126608,47.152412,3.005087,"Le Pré Neuf, Le Chameau, La Bannière, Les Essards, Champ Merle et Champ Cadet",0010009377,Granulat alluvionnaire,Oui,Sables et graviers alluvionnaires,AP d'autorisation,,
HERRY,2024,2009-05-11T00:00:00,2024-05-11T00:00:00,Oui,SIROT,126641,47.209731,2.959367,La Garenne des Chandillons,0010008587,Granulat alluvionnaire,Oui,Sables et graviers alluvionnaires,AP d'autorisation,,
DORDIVES,2023,2018-09-17T00:00:00,2023-07-19T00:00:00,Non,LAFARGE HOLCIM GRANULATS,126841,48.149799,2.75878,Carrière de Camping,0010010335,Granulat alluvionnaire,Oui,Sables et graviers alluvionnaires,AP de renouvellement,,
LIVRON-SUR-DROME,,2019-04-25T00:00:00,,Non,GROUPE DELMONICO DOREL,126741,44.803342124557645,4.802505872450542,Les Iles et Jeton,0006110089,Granulat alluvionnaire,Oui,Sables et graviers alluvionnaires,AP de procès-verbal de récolement partiel,,
GUILLY,2030,2016-06-09T00:00:00,2030-02-20T00:00:00,Oui,SOCIETE DES CARRIERES DE BRAY EN VAL,126842,47.77546548884808,2.286833043575091,"Mizouy, Villemouette, Les Quartiers",0010008734,Granulat alluvionnaire,Oui,Sables et graviers alluvionnaires,AP de renouvellement,,
MEPIEU,2041,2011-12-19T00:00:00,2041-12-19T00:00:00,Non,VICAT,126802,45.746315,5.429128,Mépieu,0006100918,Ciment,Oui,Calcaire argileux,AP de d'extension/renouvellement,100,
